,0
feature_41,0.00043359734
feature_43,0.0013207833
feature_44,0.00097011065
feature_45,0.0013775442
feature_63,0.0014005073
feature_3+feature_37,0.0013021708
feature_3+feature_121,0.00053425547
feature_5+feature_39,0.0028377844
feature_27+feature_39,0.0022051379
feature_40+feature_45,0.00058150117
feature_40+feature_63,0.001210428
feature_40+feature_95,0.000292637
feature_40+feature_121,0.00057644903
feature_41+feature_39,0.0014017159
feature_41+feature_42,0.0027870426
feature_41+feature_43,0.001880476
feature_41+feature_45,0.0018827788
feature_41+feature_62,0.0014888712
feature_41+feature_63,0.0017464883
feature_42+feature_45,0.002486276
feature_42+feature_63,0.0011112238
feature_42+feature_121,0.0014746869
feature_43+feature_45,0.0021514876
feature_43+feature_62,0.0017915646
feature_43+feature_63,0.0017926636
feature_44+feature_3,0.00155085
feature_44+feature_45,0.0029477163
feature_44+feature_63,0.0019105546
feature_44+feature_95,0.00036052865
feature_45+feature_27,0.0011261541
feature_45+feature_39,0.0011687826
feature_45+feature_62,0.0022899513
feature_45+feature_63,0.004221163
feature_62+feature_3,0.0008048379
feature_62+feature_120,0.0013053296
feature_63+feature_37,0.0027063866
feature_63+feature_120,0.0011292059
feature_63+feature_121,0.0013576553
feature_95+feature_120,0.0006837577
feature_3-feature_31,0.0013182784
feature_3-feature_44,0.0011016934
feature_4-feature_39,0.0013178422
feature_4-feature_44,0.002094229
feature_5-feature_40,0.0015972172
feature_27-feature_3,0.0008578667
feature_31-feature_3,0.0017113743
feature_31-feature_113,0.0011710969
feature_37-feature_39,0.0007706183
feature_40-feature_42,0.0012237218
feature_41-feature_42,0.0025351506
feature_41-feature_43,0.0014399039
feature_41-feature_45,0.0027424945
feature_42-feature_43,0.002056424
feature_42-feature_44,0.002847514
feature_42-feature_45,0.0024289521
feature_43-feature_45,0.0018618698
feature_43-feature_62,0.0018584477
feature_44-feature_42,0.0
feature_44-feature_45,0.0024791614
feature_45-feature_41,0.0009729478
feature_45-feature_44,0.0
feature_45-feature_63,0.002095775
feature_62-feature_43,0.0006919117
feature_62-feature_120,0.0006552234
feature_63-feature_41,0.0018230019
feature_63-feature_43,0.0024020972
feature_63-feature_44,0.0024329482
feature_63-feature_45,0.0
feature_63-feature_95,0.00082893326
feature_63-feature_120,0.00080317486
feature_63-feature_121,0.0034100467
feature_77-feature_41,0.00035026853
feature_77-feature_44,0.0010082187
feature_95-feature_42,0.0015753509
feature_95-feature_45,0.0009297394
feature_113-feature_31,0.0023828577
feature_120-feature_45,0.003929935
feature_120-feature_121,0.0027325551
feature_121-feature_40,0.0011966204
feature_121-feature_42,0.0014277875
feature_121-feature_43,0.0011169831
feature_3*abs(feature_41),0.0011456074
feature_3*abs(feature_63),0.0019403644
feature_4*abs(feature_41),0.0012222108
feature_5*abs(feature_37),0.0019429766
feature_5*abs(feature_39),0.0014122347
feature_5*abs(feature_44),0.00122379
feature_5*abs(feature_63),0.0009145456
feature_27*abs(feature_4),0.00044927007
feature_27*abs(feature_113),0.002156904
feature_31*abs(feature_113),0.004514256
feature_39*abs(feature_95),0.0019237984
feature_39*abs(feature_113),0.007613534
feature_40*abs(feature_63),0.0011991918
feature_41*abs(feature_37),0.0014125
feature_41*abs(feature_42),0.0019045239
feature_41*abs(feature_43),0.0021925452
feature_41*abs(feature_44),0.0025878323
feature_41*abs(feature_45),0.00315361
feature_41*abs(feature_62),0.0019021262
feature_41*abs(feature_63),0.0019765305
feature_42*abs(feature_5),0.003325147
feature_42*abs(feature_37),0.002148463
feature_42*abs(feature_41),0.0021366135
feature_42*abs(feature_43),0.0022223536
feature_42*abs(feature_44),0.0018603057
feature_42*abs(feature_45),0.0026180742
feature_42*abs(feature_77),0.00070295355
feature_43*abs(feature_3),0.0012569282
feature_43*abs(feature_37),0.001192036
feature_43*abs(feature_41),0.0017522925
feature_43*abs(feature_44),0.001723748
feature_43*abs(feature_45),0.0017734079
feature_43*abs(feature_63),0.0017476974
feature_43*abs(feature_121),0.0021092815
feature_44*abs(feature_41),0.0022378776
feature_44*abs(feature_42),0.0036223263
feature_44*abs(feature_45),0.0021724105
feature_44*abs(feature_62),0.0017477028
feature_45*abs(feature_4),0.00083877327
feature_45*abs(feature_37),0.0015790773
feature_45*abs(feature_41),0.0024338742
feature_45*abs(feature_42),0.0028556928
feature_45*abs(feature_43),0.0016805647
feature_45*abs(feature_44),0.0038319742
feature_45*abs(feature_62),0.0035325363
feature_45*abs(feature_63),0.0023833066
feature_62*abs(feature_3),0.0014274268
feature_62*abs(feature_39),0.0011828955
feature_62*abs(feature_41),0.0018048665
feature_62*abs(feature_42),0.0013661674
feature_62*abs(feature_43),0.0018411543
feature_62*abs(feature_44),0.0029576316
feature_62*abs(feature_45),0.0016199385
feature_63*abs(feature_4),0.0010651507
feature_63*abs(feature_39),0.0007917135
feature_63*abs(feature_42),0.0013124632
feature_63*abs(feature_44),0.0017658331
feature_63*abs(feature_45),0.0020726298
feature_63*abs(feature_95),0.0010034544
feature_63*abs(feature_120),0.0027106828
feature_77*abs(feature_63),0.0018216121
feature_95*abs(feature_63),0.0009096376
feature_113*abs(feature_39),0.0006974094
feature_113*abs(feature_95),0.00017447396
feature_120*abs(feature_37),0.0014950932
feature_120*abs(feature_42),0.00088982726
feature_120*abs(feature_43),0.0005275977
feature_121*abs(feature_37),0.00097179535
feature_121*abs(feature_43),0.0012345763
feature_121*abs(feature_44),0.0017883816
feature_3/abs(feature_5),0.0015596336
feature_4/abs(feature_39),0.0015287708
feature_4/abs(feature_41),0.0012520277
feature_5/abs(feature_4),0.001343639
feature_5/abs(feature_41),0.00197435
feature_5/abs(feature_120),0.0005312734
feature_27/abs(feature_63),0.0007412168
feature_31/abs(feature_63),0.0008788361
feature_37/abs(feature_3),0.00083433016
feature_37/abs(feature_113),0.001230832
feature_37/abs(feature_121),0.0018682299
feature_39/abs(feature_4),0.0010531346
feature_39/abs(feature_44),0.0012437763
feature_39/abs(feature_63),0.0014618237
feature_39/abs(feature_120),0.0015956975
feature_40/abs(feature_3),0.0011947446
feature_40/abs(feature_31),5.0831462e-05
feature_40/abs(feature_39),0.0011122099
feature_40/abs(feature_41),0.0010070801
feature_40/abs(feature_42),0.0020663333
feature_40/abs(feature_62),0.0007586213
feature_40/abs(feature_63),0.0004837063
feature_41/abs(feature_40),0.00085614837
feature_41/abs(feature_42),0.0023837485
feature_41/abs(feature_43),0.001290658
feature_41/abs(feature_44),0.0023730767
feature_41/abs(feature_45),0.0035920436
feature_41/abs(feature_62),0.00341552
feature_41/abs(feature_63),0.0032991206
feature_41/abs(feature_113),0.0010280522
feature_42/abs(feature_41),0.0016400103
feature_42/abs(feature_43),0.0022518167
feature_42/abs(feature_44),0.0037532323
feature_42/abs(feature_45),0.0035632162
feature_42/abs(feature_63),0.0021957927
feature_42/abs(feature_113),0.001287549
feature_43/abs(feature_5),0.0014047247
feature_43/abs(feature_41),0.0033875748
feature_43/abs(feature_42),0.002932208
feature_43/abs(feature_44),0.0024171572
feature_43/abs(feature_45),0.005064477
feature_43/abs(feature_62),0.0018186001
feature_44/abs(feature_40),0.0023960448
feature_44/abs(feature_41),0.0051722922
feature_44/abs(feature_42),0.0019548035
feature_44/abs(feature_43),0.001653976
feature_44/abs(feature_45),0.001542572
feature_44/abs(feature_62),0.0027731766
feature_44/abs(feature_63),0.0017808818
feature_45/abs(feature_41),0.0019718779
feature_45/abs(feature_42),0.0019074164
feature_45/abs(feature_43),0.0015250281
feature_45/abs(feature_44),0.0018946866
feature_45/abs(feature_62),0.0014824247
feature_62/abs(feature_37),0.00025666028
feature_62/abs(feature_40),0.00073867897
feature_62/abs(feature_41),0.002175391
feature_62/abs(feature_43),0.0017022613
feature_62/abs(feature_45),0.0017923074
feature_62/abs(feature_63),0.0016025514
feature_62/abs(feature_120),0.00085564767
feature_63/abs(feature_41),0.0020325866
feature_63/abs(feature_42),0.0015157938
feature_63/abs(feature_44),0.0022997898
feature_63/abs(feature_62),0.002415256
feature_77/abs(feature_41),0.00085556944
feature_77/abs(feature_42),0.0010584261
feature_77/abs(feature_62),0.002380362
feature_95/abs(feature_62),0.002303322
feature_95/abs(feature_113),0.002508826
feature_113/abs(feature_39),0.00037637522
feature_113/abs(feature_95),0.0015362425
feature_120/abs(feature_43),0.0010431691
feature_120/abs(feature_63),0.00082607794
feature_121/abs(feature_41),0.0021699728
feature_121/abs(feature_44),0.0012545313
feature_121/abs(feature_63),0.0010802413
feature_3+feature_37/abs(feature_41),0.0014878085
feature_3+feature_37*abs(feature_41),0.00080498576
feature_3+feature_37/abs(feature_43),0.0004957204
feature_3+feature_37*abs(feature_43),0.0011065822
feature_3+feature_37/abs(feature_44),0.0006642922
feature_3+feature_37*abs(feature_44),0.0012017699
feature_3+feature_37/abs(feature_45),0.00087674643
feature_3+feature_37*abs(feature_45),0.0007957692
feature_3+feature_37/abs(feature_63),0.001290067
feature_3+feature_37*abs(feature_63),0.0003571682
feature_3+feature_121/abs(feature_41),0.0009240581
feature_3+feature_121*abs(feature_41),0.0011209244
feature_3+feature_121/abs(feature_43),0.00120465
feature_3+feature_121*abs(feature_43),0.00119771
feature_3+feature_121/abs(feature_44),0.002525031
feature_3+feature_121*abs(feature_44),0.00097282033
feature_3+feature_121/abs(feature_45),0.001003986
feature_3+feature_121*abs(feature_45),0.0014470948
feature_3+feature_121/abs(feature_63),0.001956911
feature_3+feature_121*abs(feature_63),0.0012217148
feature_5+feature_39/abs(feature_41),0.0019742688
feature_5+feature_39*abs(feature_41),0.0011695549
feature_5+feature_39/abs(feature_43),0.0018889583
feature_5+feature_39*abs(feature_43),0.00134016
feature_5+feature_39/abs(feature_44),0.0024476463
feature_5+feature_39*abs(feature_44),0.001365358
feature_5+feature_39/abs(feature_45),0.0010045527
feature_5+feature_39*abs(feature_45),0.0012579508
feature_5+feature_39/abs(feature_63),0.000425304
feature_5+feature_39*abs(feature_63),0.0006726339
feature_27+feature_39/abs(feature_41),0.00046509766
feature_27+feature_39*abs(feature_41),0.0003180515
feature_27+feature_39/abs(feature_43),0.00060922577
feature_27+feature_39*abs(feature_43),0.00075062795
feature_27+feature_39/abs(feature_44),0.00034611268
feature_27+feature_39*abs(feature_44),0.00045437063
feature_27+feature_39/abs(feature_45),0.0007377283
feature_27+feature_39*abs(feature_45),0.00031300745
feature_27+feature_39/abs(feature_63),0.0005345346
feature_27+feature_39*abs(feature_63),0.0005774344
feature_40+feature_45/abs(feature_41),0.0014637702
feature_40+feature_45*abs(feature_41),0.0009927517
feature_40+feature_45/abs(feature_43),0.0015441979
feature_40+feature_45*abs(feature_43),0.0015220249
feature_40+feature_45/abs(feature_44),0.0013943837
feature_40+feature_45*abs(feature_44),0.0014926943
feature_40+feature_45/abs(feature_45),0.0009685684
feature_40+feature_45*abs(feature_45),0.001640073
feature_40+feature_45/abs(feature_63),0.0013192551
feature_40+feature_45*abs(feature_63),0.000824393
feature_40+feature_63/abs(feature_41),0.0007665002
feature_40+feature_63*abs(feature_41),0.0012305188
feature_40+feature_63/abs(feature_43),0.0009753664
feature_40+feature_63*abs(feature_43),0.0007147141
feature_40+feature_63/abs(feature_44),0.002314569
feature_40+feature_63*abs(feature_44),0.0009204792
feature_40+feature_63/abs(feature_45),0.0008384923
feature_40+feature_63*abs(feature_45),0.0021449507
feature_40+feature_63/abs(feature_63),0.0009764455
feature_40+feature_63*abs(feature_63),0.0014645543
feature_40+feature_95/abs(feature_41),0.0010737742
feature_40+feature_95*abs(feature_41),0.0007460431
feature_40+feature_95/abs(feature_43),0.00062553317
feature_40+feature_95*abs(feature_43),0.001216909
feature_40+feature_95/abs(feature_44),0.00070881407
feature_40+feature_95*abs(feature_44),0.00060908194
feature_40+feature_95/abs(feature_45),0.000647769
feature_40+feature_95*abs(feature_45),0.0013453736
feature_40+feature_95/abs(feature_63),0.0009487668
feature_40+feature_95*abs(feature_63),0.0005800671
feature_40+feature_121/abs(feature_41),0.00091802
feature_40+feature_121*abs(feature_41),0.0014974843
feature_40+feature_121/abs(feature_43),0.00064217136
feature_40+feature_121*abs(feature_43),0.0016664432
feature_40+feature_121/abs(feature_44),0.0009230514
feature_40+feature_121*abs(feature_44),0.0008580351
feature_40+feature_121/abs(feature_45),0.00065721956
feature_40+feature_121*abs(feature_45),0.000530463
feature_40+feature_121/abs(feature_63),0.0013348762
feature_40+feature_121*abs(feature_63),0.0006905849
feature_41+feature_39/abs(feature_41),0.0015059726
feature_41+feature_39*abs(feature_41),0.0007515718
feature_41+feature_39/abs(feature_43),0.00048249782
feature_41+feature_39*abs(feature_43),0.0014571474
feature_41+feature_39/abs(feature_44),0.0012630557
feature_41+feature_39*abs(feature_44),0.0012978174
feature_41+feature_39/abs(feature_45),0.0010621073
feature_41+feature_39*abs(feature_45),0.0014398244
feature_41+feature_39/abs(feature_63),0.0012806996
feature_41+feature_39*abs(feature_63),0.00182842
feature_41+feature_42/abs(feature_41),0.0036686652
feature_41+feature_42*abs(feature_41),0.0025410904
feature_41+feature_42/abs(feature_43),0.0023446728
feature_41+feature_42*abs(feature_43),0.0022429582
feature_41+feature_42/abs(feature_44),0.0029771298
feature_41+feature_42*abs(feature_44),0.0021716838
feature_41+feature_42/abs(feature_45),0.0018520406
feature_41+feature_42*abs(feature_45),0.001791319
feature_41+feature_42/abs(feature_63),0.0020186582
feature_41+feature_42*abs(feature_63),0.0017544065
feature_41+feature_43/abs(feature_41),0.0034913698
feature_41+feature_43*abs(feature_41),0.002305423
feature_41+feature_43/abs(feature_43),0.0018947114
feature_41+feature_43*abs(feature_43),0.004666264
feature_41+feature_43/abs(feature_44),0.0016219388
feature_41+feature_43*abs(feature_44),0.0021336696
feature_41+feature_43/abs(feature_45),0.0029761302
feature_41+feature_43*abs(feature_45),0.0021028959
feature_41+feature_43/abs(feature_63),0.0016593523
feature_41+feature_43*abs(feature_63),0.0011501114
feature_41+feature_45/abs(feature_41),0.0028839568
feature_41+feature_45*abs(feature_41),0.0029855086
feature_41+feature_45/abs(feature_43),0.0024508082
feature_41+feature_45*abs(feature_43),0.0027545416
feature_41+feature_45/abs(feature_44),0.002499428
feature_41+feature_45*abs(feature_44),0.0022408012
feature_41+feature_45/abs(feature_45),0.001652479
feature_41+feature_45*abs(feature_45),0.002426364
feature_41+feature_45/abs(feature_63),0.0020346534
feature_41+feature_45*abs(feature_63),0.0021216427
feature_41+feature_62/abs(feature_41),0.0009628524
feature_41+feature_62*abs(feature_41),0.0014140253
feature_41+feature_62/abs(feature_43),0.0012761336
feature_41+feature_62*abs(feature_43),0.0021879694
feature_41+feature_62/abs(feature_44),0.0016722449
feature_41+feature_62*abs(feature_44),0.0012106235
feature_41+feature_62/abs(feature_45),0.0017555254
feature_41+feature_62*abs(feature_45),0.0019674788
feature_41+feature_62/abs(feature_63),0.001817973
feature_41+feature_62*abs(feature_63),0.0015538343
feature_41+feature_63/abs(feature_41),0.0028168662
feature_41+feature_63*abs(feature_41),0.001668062
feature_41+feature_63/abs(feature_43),0.0017011287
feature_41+feature_63*abs(feature_43),0.003103169
feature_41+feature_63/abs(feature_44),0.0011897712
feature_41+feature_63*abs(feature_44),0.0014651542
feature_41+feature_63/abs(feature_45),0.0018021187
feature_41+feature_63*abs(feature_45),0.0029212635
feature_41+feature_63/abs(feature_63),0.002251635
feature_41+feature_63*abs(feature_63),0.0010931038
feature_42+feature_45/abs(feature_41),0.001956081
feature_42+feature_45*abs(feature_41),0.0027469413
feature_42+feature_45/abs(feature_43),0.0019138503
feature_42+feature_45*abs(feature_43),0.001956422
feature_42+feature_45/abs(feature_44),0.002679338
feature_42+feature_45*abs(feature_44),0.0022612314
feature_42+feature_45/abs(feature_45),0.0017754735
feature_42+feature_45*abs(feature_45),0.001908895
feature_42+feature_45/abs(feature_63),0.00180331
feature_42+feature_45*abs(feature_63),0.0016648654
feature_42+feature_63/abs(feature_41),0.0023560901
feature_42+feature_63*abs(feature_41),0.002022404
feature_42+feature_63/abs(feature_43),0.002798772
feature_42+feature_63*abs(feature_43),0.0025143533
feature_42+feature_63/abs(feature_44),0.0015679217
feature_42+feature_63*abs(feature_44),0.0017428736
feature_42+feature_63/abs(feature_45),0.001329545
feature_42+feature_63*abs(feature_45),0.002820299
feature_42+feature_63/abs(feature_63),0.0014861393
feature_42+feature_63*abs(feature_63),0.0012057782
feature_42+feature_121/abs(feature_41),0.0021340111
feature_42+feature_121*abs(feature_41),0.0012463873
feature_42+feature_121/abs(feature_43),0.0011877305
feature_42+feature_121*abs(feature_43),0.0014110944
feature_42+feature_121/abs(feature_44),0.0011657036
feature_42+feature_121*abs(feature_44),0.0010160456
feature_42+feature_121/abs(feature_45),0.0012593073
feature_42+feature_121*abs(feature_45),0.0011984054
feature_42+feature_121/abs(feature_63),0.0017559679
feature_42+feature_121*abs(feature_63),0.0020170114
feature_43+feature_45/abs(feature_41),0.0022512106
feature_43+feature_45*abs(feature_41),0.0018328183
feature_43+feature_45/abs(feature_43),0.0011546445
feature_43+feature_45*abs(feature_43),0.0021196913
feature_43+feature_45/abs(feature_44),0.0033650938
feature_43+feature_45*abs(feature_44),0.0014809564
feature_43+feature_45/abs(feature_45),0.0024463935
feature_43+feature_45*abs(feature_45),0.0024078782
feature_43+feature_45/abs(feature_63),0.0020258422
feature_43+feature_45*abs(feature_63),0.0023069396
feature_43+feature_62/abs(feature_41),0.0026749687
feature_43+feature_62*abs(feature_41),0.002442702
feature_43+feature_62/abs(feature_43),0.0016283498
feature_43+feature_62*abs(feature_43),0.0013086417
feature_43+feature_62/abs(feature_44),0.0016549317
feature_43+feature_62*abs(feature_44),0.0015243874
feature_43+feature_62/abs(feature_45),0.0011459972
feature_43+feature_62*abs(feature_45),0.0023492095
feature_43+feature_62/abs(feature_63),0.0015412021
feature_43+feature_62*abs(feature_63),0.002353901
feature_43+feature_63/abs(feature_41),0.0022141647
feature_43+feature_63*abs(feature_41),0.0017878771
feature_43+feature_63/abs(feature_43),0.0029768632
feature_43+feature_63*abs(feature_43),0.0022686138
feature_43+feature_63/abs(feature_44),0.0015172916
feature_43+feature_63*abs(feature_44),0.0015917153
feature_43+feature_63/abs(feature_45),0.0019865118
feature_43+feature_63*abs(feature_45),0.0012726402
feature_43+feature_63/abs(feature_63),0.002935525
feature_43+feature_63*abs(feature_63),0.0013016644
feature_44+feature_3/abs(feature_41),0.0009952751
feature_44+feature_3*abs(feature_41),0.0012502733
feature_44+feature_3/abs(feature_43),0.0009683088
